"PLOT","YEAR","LARGE_RODENTS","ALL_RODENTS","PORU_ANTS","ALL_ANTS"
1,1977,1,1,1,1
1,1978,1,1,1,1
1,1979,1,1,1,1
1,1980,1,1,1,1
1,1981,1,1,1,1
1,1982,1,1,1,1
1,1983,1,1,1,1
1,1984,1,1,1,1
1,1985,1,1,1,1
1,1986,1,1,1,1
1,1987,1,1,1,1
1,1988,0,1,1,1
1,1989,0,1,1,1
1,1990,0,1,1,1
1,1991,0,1,1,1
1,1992,0,1,1,1
1,1993,0,1,1,1
1,1994,0,1,1,1
1,1995,0,1,1,1
1,1996,0,1,1,1
1,1997,0,1,1,1
1,1998,0,1,1,1
1,1999,0,1,1,1
1,2000,0,1,1,1
1,2001,0,1,1,1
1,2002,0,1,1,1
2,1977,1,1,1,1
2,1978,1,1,1,1
2,1979,1,1,1,1
2,1980,1,1,1,1
2,1981,1,1,1,1
2,1982,1,1,1,1
2,1983,1,1,1,1
2,1984,1,1,1,1
2,1985,1,1,1,1
2,1986,1,1,1,1
2,1987,1,1,1,1
2,1988,1,1,1,1
2,1989,1,1,1,1
2,1990,1,1,1,1
2,1991,1,1,1,1
2,1992,1,1,1,1
2,1993,1,1,1,1
2,1994,1,1,1,1
2,1995,1,1,1,1
2,1996,1,1,1,1
2,1997,1,1,1,1
2,1998,1,1,1,1
2,1999,1,1,1,1
2,2000,1,1,1,1
2,2001,1,1,1,1
2,2002,1,1,1,1
3,1977,0,1,0,1
3,1978,0,1,0,1
3,1979,0,1,0,1
3,1980,0,1,0,1
3,1981,0,1,0,1
3,1982,0,1,0,1
3,1983,0,1,0,1
3,1984,0,1,0,1
3,1985,0,1,0,1
3,1986,0,1,0,1
3,1987,0,1,0,1
3,1988,0,1,0,0
3,1989,0,1,0,0
3,1990,0,1,0,0
3,1991,0,1,0,0
3,1992,0,1,0,0
3,1993,0,1,0,0
3,1994,0,1,0,0
3,1995,0,1,0,0
3,1996,0,1,0,0
3,1997,0,1,0,0
3,1998,0,1,0,0
3,1999,0,1,0,0
3,2000,0,1,0,0
3,2001,0,1,0,0
3,2002,0,1,0,0
4,1977,1,1,0,0
4,1978,1,1,0,0
4,1979,1,1,0,0
4,1980,1,1,0,0
4,1981,1,1,0,0
4,1982,1,1,0,0
4,1983,1,1,0,0
4,1984,1,1,0,0
4,1985,1,1,0,0
4,1986,1,1,0,0
4,1987,1,1,0,0
4,1988,1,1,0,0
4,1989,1,1,0,0
4,1990,1,1,0,0
4,1991,1,1,0,0
4,1992,1,1,0,0
4,1993,1,1,0,0
4,1994,1,1,0,0
4,1995,1,1,0,0
4,1996,1,1,0,0
4,1997,1,1,0,0
4,1998,1,1,0,0
4,1999,1,1,0,0
4,2000,1,1,0,0
4,2001,1,1,0,0
4,2002,1,1,0,0
5,1977,0,1,1,1
5,1978,0,1,1,1
5,1979,0,1,1,1
5,1980,0,1,1,1
5,1981,0,1,1,1
5,1982,0,1,1,1
5,1983,0,1,1,1
5,1984,0,1,1,1
5,1985,0,1,1,1
5,1986,0,1,1,1
5,1987,0,1,1,1
5,1988,0,0,1,1
5,1989,0,0,1,1
5,1990,0,0,1,1
5,1991,0,0,1,1
5,1992,0,0,1,1
5,1993,0,0,1,1
5,1994,0,0,1,1
5,1995,0,0,1,1
5,1996,0,0,1,1
5,1997,0,0,1,1
5,1998,0,0,1,1
5,1999,0,0,1,1
5,2000,0,0,1,1
5,2001,0,0,1,1
5,2002,0,0,1,1
6,1977,1,1,1,1
6,1978,1,1,1,1
6,1979,1,1,1,1
6,1980,1,1,1,1
6,1981,1,1,1,1
6,1982,1,1,1,1
6,1983,1,1,1,1
6,1984,1,1,1,1
6,1985,1,1,1,1
6,1986,1,1,1,1
6,1987,1,1,1,1
6,1988,0,1,1,1
6,1989,0,1,1,1
6,1990,0,1,1,1
6,1991,0,1,1,1
6,1992,0,1,1,1
6,1993,0,1,1,1
6,1994,0,1,1,1
6,1995,0,1,1,1
6,1996,0,1,1,1
6,1997,0,1,1,1
6,1998,0,1,1,1
6,1999,0,1,1,1
6,2000,0,1,1,1
6,2001,0,1,1,1
6,2002,0,1,1,1
7,1977,0,0,1,1
7,1978,0,0,1,1
7,1979,0,0,1,1
7,1980,0,0,1,1
7,1981,0,0,1,1
7,1982,0,0,1,1
7,1983,0,0,1,1
7,1984,0,0,1,1
7,1985,0,0,1,1
7,1986,0,0,1,1
7,1987,0,0,1,1
7,1988,0,0,1,1
7,1989,0,0,1,1
7,1990,0,0,1,1
7,1991,0,0,1,1
7,1992,0,0,1,1
7,1993,0,0,1,1
7,1994,0,0,1,1
7,1995,0,0,1,1
7,1996,0,0,1,1
7,1997,0,0,1,1
7,1998,0,0,1,1
7,1999,0,0,1,1
7,2000,0,0,1,1
7,2001,0,0,1,1
7,2002,0,0,1,1
8,1977,1,1,0,1
8,1978,1,1,0,1
8,1979,1,1,0,1
8,1980,1,1,0,1
8,1981,1,1,0,1
8,1982,1,1,0,1
8,1983,1,1,0,1
8,1984,1,1,0,1
8,1985,1,1,0,1
8,1986,1,1,0,1
8,1987,1,1,0,1
8,1988,1,1,0,0
8,1989,1,1,0,0
8,1990,1,1,0,0
8,1991,1,1,0,0
8,1992,1,1,0,0
8,1993,1,1,0,0
8,1994,1,1,0,0
8,1995,1,1,0,0
8,1996,1,1,0,0
8,1997,1,1,0,0
8,1998,1,1,0,0
8,1999,1,1,0,0
8,2000,1,1,0,0
8,2001,1,1,0,0
8,2002,1,1,0,0
9,1977,1,1,1,1
9,1978,1,1,1,1
9,1979,1,1,1,1
9,1980,1,1,1,1
9,1981,1,1,1,1
9,1982,1,1,1,1
9,1983,1,1,1,1
9,1984,1,1,1,1
9,1985,1,1,1,1
9,1986,1,1,1,1
9,1987,1,1,1,1
9,1988,0,1,1,1
9,1989,0,1,1,1
9,1990,0,1,1,1
9,1991,0,1,1,1
9,1992,0,1,1,1
9,1993,0,1,1,1
9,1994,0,1,1,1
9,1995,0,1,1,1
9,1996,0,1,1,1
9,1997,0,1,1,1
9,1998,0,1,1,1
9,1999,0,1,1,1
9,2000,0,1,1,1
9,2001,0,1,1,1
9,2002,0,1,1,1
10,1977,0,0,0,0
10,1978,0,0,0,0
10,1979,0,0,0,0
10,1980,0,0,0,0
10,1981,0,0,0,0
10,1982,0,0,0,0
10,1983,0,0,0,0
10,1984,0,0,0,0
10,1985,0,0,0,0
10,1986,0,0,0,0
10,1987,0,0,0,0
10,1988,0,0,0,0
10,1989,0,0,0,0
10,1990,0,0,0,0
10,1991,0,0,0,0
10,1992,0,0,0,0
10,1993,0,0,0,0
10,1994,0,0,0,0
10,1995,0,0,0,0
10,1996,0,0,0,0
10,1997,0,0,0,0
10,1998,0,0,0,0
10,1999,0,0,0,0
10,2000,0,0,0,0
10,2001,0,0,0,0
10,2002,0,0,0,0
11,1977,1,1,1,1
11,1978,1,1,1,1
11,1979,1,1,1,1
11,1980,1,1,1,1
11,1981,1,1,1,1
11,1982,1,1,1,1
11,1983,1,1,1,1
11,1984,1,1,1,1
11,1985,1,1,1,1
11,1986,1,1,1,1
11,1987,1,1,1,1
11,1988,1,1,1,1
11,1989,1,1,1,1
11,1990,1,1,1,1
11,1991,1,1,1,1
11,1992,1,1,1,1
11,1993,1,1,1,1
11,1994,1,1,1,1
11,1995,1,1,1,1
11,1996,1,1,1,1
11,1997,1,1,1,1
11,1998,1,1,1,1
11,1999,1,1,1,1
11,2000,1,1,1,1
11,2001,1,1,1,1
11,2002,1,1,1,1
12,1977,1,1,0,1
12,1978,1,1,0,1
12,1979,1,1,0,1
12,1980,1,1,0,1
12,1981,1,1,0,1
12,1982,1,1,0,1
12,1983,1,1,0,1
12,1984,1,1,0,1
12,1985,1,1,0,1
12,1986,1,1,0,1
12,1987,1,1,0,1
12,1988,1,1,0,0
12,1989,1,1,0,0
12,1990,1,1,0,0
12,1991,1,1,0,0
12,1992,1,1,0,0
12,1993,1,1,0,0
12,1994,1,1,0,0
12,1995,1,1,0,0
12,1996,1,1,0,0
12,1997,1,1,0,0
12,1998,1,1,0,0
12,1999,1,1,0,0
12,2000,1,1,0,0
12,2001,1,1,0,0
12,2002,1,1,0,0
13,1977,1,1,1,1
13,1978,1,1,1,1
13,1979,1,1,1,1
13,1980,1,1,1,1
13,1981,1,1,1,1
13,1982,1,1,1,1
13,1983,1,1,1,1
13,1984,1,1,1,1
13,1985,1,1,1,1
13,1986,1,1,1,1
13,1987,1,1,1,1
13,1988,0,1,0,0
13,1989,0,1,0,0
13,1990,0,1,0,0
13,1991,0,1,0,0
13,1992,0,1,0,0
13,1993,0,1,0,0
13,1994,0,1,0,0
13,1995,0,1,0,0
13,1996,0,1,0,0
13,1997,0,1,0,0
13,1998,0,1,0,0
13,1999,0,1,0,0
13,2000,0,1,0,0
13,2001,0,1,0,0
13,2002,0,1,0,0
14,1977,1,1,1,1
14,1978,1,1,1,1
14,1979,1,1,1,1
14,1980,1,1,1,1
14,1981,1,1,1,1
14,1982,1,1,1,1
14,1983,1,1,1,1
14,1984,1,1,1,1
14,1985,1,1,1,1
14,1986,1,1,1,1
14,1987,1,1,1,1
14,1988,1,1,1,1
14,1989,1,1,1,1
14,1990,1,1,1,1
14,1991,1,1,1,1
14,1992,1,1,1,1
14,1993,1,1,1,1
14,1994,1,1,1,1
14,1995,1,1,1,1
14,1996,1,1,1,1
14,1997,1,1,1,1
14,1998,1,1,1,1
14,1999,1,1,1,1
14,2000,1,1,1,1
14,2001,1,1,1,1
14,2002,1,1,1,1
15,1977,0,1,1,1
15,1978,0,1,1,1
15,1979,0,1,1,1
15,1980,0,1,1,1
15,1981,0,1,1,1
15,1982,0,1,1,1
15,1983,0,1,1,1
15,1984,0,1,1,1
15,1985,0,1,1,1
15,1986,0,1,1,1
15,1987,0,1,1,1
15,1988,0,1,1,1
15,1989,0,1,1,1
15,1990,0,1,1,1
15,1991,0,1,1,1
15,1992,0,1,1,1
15,1993,0,1,1,1
15,1994,0,1,1,1
15,1995,0,1,1,1
15,1996,0,1,1,1
15,1997,0,1,1,1
15,1998,0,1,1,1
15,1999,0,1,1,1
15,2000,0,1,1,1
15,2001,0,1,1,1
15,2002,0,1,1,1
16,1977,0,0,1,1
16,1978,0,0,1,1
16,1979,0,0,1,1
16,1980,0,0,1,1
16,1981,0,0,1,1
16,1982,0,0,1,1
16,1983,0,0,1,1
16,1984,0,0,1,1
16,1985,0,0,1,1
16,1986,0,0,1,1
16,1987,0,0,1,1
16,1988,0,0,1,1
16,1989,0,0,1,1
16,1990,0,0,1,1
16,1991,0,0,1,1
16,1992,0,0,1,1
16,1993,0,0,1,1
16,1994,0,0,1,1
16,1995,0,0,1,1
16,1996,0,0,1,1
16,1997,0,0,1,1
16,1998,0,0,1,1
16,1999,0,0,1,1
16,2000,0,0,1,1
16,2001,0,0,1,1
16,2002,0,0,1,1
17,1977,1,1,0,0
17,1978,1,1,0,0
17,1979,1,1,0,0
17,1980,1,1,0,0
17,1981,1,1,0,0
17,1982,1,1,0,0
17,1983,1,1,0,0
17,1984,1,1,0,0
17,1985,1,1,0,0
17,1986,1,1,0,0
17,1987,1,1,0,0
17,1988,1,1,0,0
17,1989,1,1,0,0
17,1990,1,1,0,0
17,1991,1,1,0,0
17,1992,1,1,0,0
17,1993,1,1,0,0
17,1994,1,1,0,0
17,1995,1,1,0,0
17,1996,1,1,0,0
17,1997,1,1,0,0
17,1998,1,1,0,0
17,1999,1,1,0,0
17,2000,1,1,0,0
17,2001,1,1,0,0
17,2002,1,1,0,0
18,1977,1,1,1,1
18,1978,1,1,1,1
18,1979,1,1,1,1
18,1980,1,1,1,1
18,1981,1,1,1,1
18,1982,1,1,1,1
18,1983,1,1,1,1
18,1984,1,1,1,1
18,1985,1,1,1,1
18,1986,1,1,1,1
18,1987,1,1,1,1
18,1988,0,1,1,1
18,1989,0,1,1,1
18,1990,0,1,1,1
18,1991,0,1,1,1
18,1992,0,1,1,1
18,1993,0,1,1,1
18,1994,0,1,1,1
18,1995,0,1,1,1
18,1996,0,1,1,1
18,1997,0,1,1,1
18,1998,0,1,1,1
18,1999,0,1,1,1
18,2000,0,1,1,1
18,2001,0,1,1,1
18,2002,0,1,1,1
19,1977,0,1,0,1
19,1978,0,1,0,1
19,1979,0,1,0,1
19,1980,0,1,0,1
19,1981,0,1,0,1
19,1982,0,1,0,1
19,1983,0,1,0,1
19,1984,0,1,0,1
19,1985,0,1,0,1
19,1986,0,1,0,1
19,1987,0,1,0,1
19,1988,0,1,0,0
19,1989,0,1,0,0
19,1990,0,1,0,0
19,1991,0,1,0,0
19,1992,0,1,0,0
19,1993,0,1,0,0
19,1994,0,1,0,0
19,1995,0,1,0,0
19,1996,0,1,0,0
19,1997,0,1,0,0
19,1998,0,1,0,0
19,1999,0,1,0,0
19,2000,0,1,0,0
19,2001,0,1,0,0
19,2002,0,1,0,0
20,1977,1,1,1,1
20,1978,1,1,1,1
20,1979,1,1,1,1
20,1980,1,1,1,1
20,1981,1,1,1,1
20,1982,1,1,1,1
20,1983,1,1,1,1
20,1984,1,1,1,1
20,1985,1,1,1,1
20,1986,1,1,1,1
20,1987,1,1,1,1
20,1988,0,1,0,0
20,1989,0,1,0,0
20,1990,0,1,0,0
20,1991,0,1,0,0
20,1992,0,1,0,0
20,1993,0,1,0,0
20,1994,0,1,0,0
20,1995,0,1,0,0
20,1996,0,1,0,0
20,1997,0,1,0,0
20,1998,0,1,0,0
20,1999,0,1,0,0
20,2000,0,1,0,0
20,2001,0,1,0,0
20,2002,0,1,0,0
21,1977,0,1,1,1
21,1978,0,1,1,1
21,1979,0,1,1,1
21,1980,0,1,1,1
21,1981,0,1,1,1
21,1982,0,1,1,1
21,1983,0,1,1,1
21,1984,0,1,1,1
21,1985,0,1,1,1
21,1986,0,1,1,1
21,1987,0,1,1,1
21,1988,0,1,1,1
21,1989,0,1,1,1
21,1990,0,1,1,1
21,1991,0,1,1,1
21,1992,0,1,1,1
21,1993,0,1,1,1
21,1994,0,1,1,1
21,1995,0,1,1,1
21,1996,0,1,1,1
21,1997,0,1,1,1
21,1998,0,1,1,1
21,1999,0,1,1,1
21,2000,0,1,1,1
21,2001,0,1,1,1
21,2002,0,1,1,1
22,1977,1,1,1,1
22,1978,1,1,1,1
22,1979,1,1,1,1
22,1980,1,1,1,1
22,1981,1,1,1,1
22,1982,1,1,1,1
22,1983,1,1,1,1
22,1984,1,1,1,1
22,1985,1,1,1,1
22,1986,1,1,1,1
22,1987,1,1,1,1
22,1988,1,1,1,1
22,1989,1,1,1,1
22,1990,1,1,1,1
22,1991,1,1,1,1
22,1992,1,1,1,1
22,1993,1,1,1,1
22,1994,1,1,1,1
22,1995,1,1,1,1
22,1996,1,1,1,1
22,1997,1,1,1,1
22,1998,1,1,1,1
22,1999,1,1,1,1
22,2000,1,1,1,1
22,2001,1,1,1,1
22,2002,1,1,1,1
23,1977,0,0,0,0
23,1978,0,0,0,0
23,1979,0,0,0,0
23,1980,0,0,0,0
23,1981,0,0,0,0
23,1982,0,0,0,0
23,1983,0,0,0,0
23,1984,0,0,0,0
23,1985,0,0,0,0
23,1986,0,0,0,0
23,1987,0,0,0,0
23,1988,0,0,0,0
23,1989,0,0,0,0
23,1990,0,0,0,0
23,1991,0,0,0,0
23,1992,0,0,0,0
23,1993,0,0,0,0
23,1994,0,0,0,0
23,1995,0,0,0,0
23,1996,0,0,0,0
23,1997,0,0,0,0
23,1998,0,0,0,0
23,1999,0,0,0,0
23,2000,0,0,0,0
23,2001,0,0,0,0
23,2002,0,0,0,0
24,1977,1,1,1,1
24,1978,1,1,1,1
24,1979,0,1,1,1
24,1980,0,1,1,1
24,1981,0,1,1,1
24,1982,0,1,1,1
24,1983,0,1,1,1
24,1984,0,1,1,1
24,1985,0,1,1,1
24,1986,0,1,1,1
24,1987,0,1,1,1
24,1988,0,0,1,1
24,1989,0,0,1,1
24,1990,0,0,1,1
24,1991,0,0,1,1
24,1992,0,0,1,1
24,1993,0,0,1,1
24,1994,0,0,1,1
24,1995,0,0,1,1
24,1996,0,0,1,1
24,1997,0,0,1,1
24,1998,0,0,1,1
24,1999,0,0,1,1
24,2000,0,0,1,1
24,2001,0,0,1,1
24,2002,0,0,1,1
